序号,模块,定时任务名称,定时任务执行地址,参数,,,,,"定时频率
(cron表达式)",备注,是否已配置（此两列由定时配置人填写）,,负责人
39,integration,FSSC_0036-资产折旧信息同步接口,/integration/fssc0036/execute,pAssetId,String,否,是,,0 0/30 * * * ?,,,,徐朝
,,,,pBookTypeCode,String,否,是,,,,,,徐朝
,,,,updateDateStr,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
40,integration,FSSC_0035-资产分配信息同步接口,/integration/fssc0035/execute,pAssetId,String,否,是,,0 0/30 * * * ?,,,,徐朝
,,,,pBookTypeCode,String,否,是,,,,,,徐朝
,,,,updateDateStr,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
41,integration,FSSC_0033-资产基本信息同步接口,/integration/fssc0033/execute,pAssetId,String,否,是,,0 0/30 * * * ?,,,,徐朝
,,,,pAssetNumber,String,否,是,,,,,,徐朝
,,,,updateDateStr,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
42,integration,FSSC_0003-应付银行账户同步接口,/integration/fssc0003/execute,updateDateStr,String,否,是,,0 0 6 * * ?,,,,徐朝
,,,,pOrganizationId,String,否,是,,,,,,徐朝
,,,,pBankAccountId,String,否,是,,,,,,徐朝
,,,,pBankAccountNum,String,否,是,,,,,,徐朝
,,,,allData,String,否,是,,,,,,徐朝
43,integration,FSSC_0055-现金流标识同步接口,/integration/fssc0055/execute,pFlexCode,String,否,是,,0 10 22 * * ?,,,,徐朝
,,,,pFlexName,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
44,integration,FSSC_0056-汇率同步接口,/integration/fssc0056/execute,pStartConversionDate,String,否,是,,* * 3 * * ?,,,,徐朝
,,,,pEndConversionDate,String,否,是,,,,,,徐朝
,,,,pCorporate,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
45,integration,FSSC_0068-业务实体（OU）同步接口,/integration/fssc0068/execute,ifWhereFlag,String,否,是,,0 22 2 * * ?,,,,徐朝
,,,,where,String,否,是,,,,,,徐朝
46,integration,FSSC_0062-总账凭证头信息接口,/integration/fssc0062/execute,pWhere,String,否,是,,0 05 03 * * ?,,,,徐朝
47,integration,FSSC_0054-总帐科目组合同步接口,/integration/fssc0054/execute,updateDateStr,String,否,是,,0 0 0/1 * * ?,,,,徐朝
,,,,pCodeCombinationId,String,否,是,,,,,,徐朝
,,,,pAccountType,String,否,是,,,,,,徐朝
,,,,pShowAccountType,String,否,是,,,,,,徐朝
,,,,pCodeCombination,String,否,是,,,,,,徐朝
48,integration,FSSC_0049-科目段同步接口,/integration/fssc0049/execute,updateDateStr,String,否,是,,0 20 0/2 * * ?,,,,徐朝
,,,,pDescription,String,否,是,,,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
49,integration,FSSC_0046-公司段同步接口,/integration/fssc0046/execute,updateDateStr,String,否,是,,0 35 1 * * ?,,,,徐朝
,,,,pDescription,String,否,是,,,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
50,integration,FSSC_0048-部门段同步接口,/integration/fssc0048/execute,updateDateStr,String,否,是,,0 15 0/2 * * ?,,,,徐朝
,,,,pDescription,String,否,是,,,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
51,integration,FSSC_0052-公司间段同步接口,/integration/fssc0052/execute,updateDateStr,String,否,是,,0 10 0/4 * * ?,,,,徐朝
,,,,pDescription,String,否,是,,,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
52,integration,FSSC_0053-备用段同步接口,/integration/fssc0053/execute,updateDateStr,String,否,是,,0 40 1 * * ?,,,,徐朝
,,,,pDescription,String,否,是,,,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
53,integration,FSSC_0051-产品段同步接口,/integration/fssc0051/execute,updateDateStr,String,否,是,,0 0 0/4 * * ?,,,,徐朝
,,,,pDescription,String,否,是,,,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
54,integration,FSSC_0050-项目段同步接口,/integration/fssc0050/execute,updateDateStr,String,否,是,,0 25 0/2 * * ?,,,,徐朝
,,,,pDescription,String,否,是,,,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
55,integration,FSSC_0073-总帐账套同步接口,/integration/fssc0073/execute,pResponsibilityName,String,否,是,,0 59 19 10 * ?,,,,徐朝
,,,,pUserProfileOptionName,String,否,是,,,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
56,integration,FSSC_0074-总帐期间同步接口,/integration/fssc0074/execute,pSetOfBooksId,String,否,是,,0 59 19 10 * ?,,,,徐朝
,,,,pPeriodName,String,否,是,,,,,,徐朝
,,,,pClosingStatus,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
57,integration,FSSC_0020-应收来源同步接口,/integration/fssc0020/execute,updateDateStr,String,否,是,,0 0/20 * * * ?,,,,徐朝
,,,,pOrgId,String,否,是,,,,,,徐朝
,,,,pCoaCom,String,否,是,,,,,,徐朝
,,,,pNlsLang,String,否,是,,,,,,徐朝
58,integration,FSSC_0016-客户信息同步接口,/integration/fssc0016/execute,pOrgId,String,否,是,,0 0 0/1 * * ?,,,,徐朝
,,,,pOrgName,String,否,是,,,,,,徐朝
,,,,pCustomerId,String,否,是,,,,,,徐朝
,,,,pCustomerNumber,String,否,是,,,,,,徐朝
,,,,pCustomerName,String,否,是,,,,,,徐朝
,,,,pCustomerSiteId,String,否,是,,,,,,徐朝
,,,,pCustomerSiteCode,String,否,是,,,,,,徐朝
,,,,pSiteUseCode,String,否,是,,,,,,徐朝
,,,,pAddress1,String,否,是,,,,,,徐朝
,,,,pAddress2,String,否,是,,,,,,徐朝
,,,,pAddress3,String,否,是,,,,,,徐朝
,,,,pAddress4,String,否,是,,,,,,徐朝
,,,,pStartLastUpdateDate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdateDate,String,否,是,,,,,,徐朝
,,,,pMeaningasaccSubType,String,否,是,,,,,,徐朝
,,,,pStatus,String,否,是,,,,,,徐朝
,,,,pCreatedDate,String,否,是,,,,,,徐朝
59,integration,FSSC_0019-应收款活动同步接口,/integration/fssc0019/execute,updateDateStr,String,否,是,,0 0/20 * * * ?,,,,徐朝
,,,,pOrgId,String,否,是,,,,,,徐朝
,,,,pCoaCom,String,否,是,,,,,,徐朝
,,,,pNlsLang,String,否,是,,,,,,徐朝
60,integration,FSSC_0017-AR收款方法同步接口,/integration/fssc0017/execute,pOrgId,String,否,是,,0 0/50 * * * ?,,,,徐朝
,,,,pCoaCom,String,否,是,,,,,,徐朝
,,,,updateDateStr,String,否,是,,,,,,徐朝
,,,,pNlsLang,String,否,是,,,,,,徐朝
61,integration,FSSC_0063-总账凭证行信息接口,/integration/fssc0063/execute,pOrgId,String,否,是,,0 15 03 * * ?,,,,徐朝
,,,,pPeriodName,String,否,是,,,,,,徐朝
,,,,pJeHeaderId,String,否,是,,,,,,徐朝
,,,,pDocValue,String,否,是,,,,,,徐朝
,,,,pParameter1,String,否,是,,,,,,徐朝
,,,,pParameter2,String,否,是,,,,,,徐朝
,,,,pParameter3,String,否,是,,,,,,徐朝
,,,,pStartLastUpdateDate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdateDate,String,否,是,,,,,,徐朝
62,integration,FSSC_0064-计量单位同步接口,/integration/fssc0064/execute,updateDateStr,String,否,是,,0 0/20 * * * ?,,,,徐朝
,,,,pNlsLang,String,否,是,,,,,,徐朝
63,integration,FSSC_0018-事务处理类型同步接口,/integration/fssc0064/execute,updateDateStr,String,否,是,,0 0/20 * * * ?,,,,徐朝
